company,segment,fit_score,city,postcode,street,website,generic_email,phone_public,source,source_url,fit_reason,next_step
Elektro-Service Weindorf,Elektroservice,100,Dortmund,44225,Kieferstraße 33,https://elektro-weindorf.de/,,+49 231 5676620,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/13850941262,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Gebäudetechnik NRW,Gebäudetechnik / Wartung,100,Bonn,53127,An der Ohligsmühle 64,https://www.gebaeudetechnik.nrw,,+4922871015500,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/250762823,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Jost Gebäudetechnik GmbH,Gebäudetechnik / Wartung,100,Essen,45289,Alte Hauptstraße 30,https://www.jost-gebaeudetechnik.de/,info@jost-gebaeudetechnik.de,+49 201 81503777,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/11308556171,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
ABEX Köln - Kemmerling Gebäudetechnik,Gebäudetechnik / Wartung,100,Köln,50996,Wankelstraße 54,https://www.gc-gruppe.de/unternehmen/kemmerling-kg/standorte/abex-247-koeln-wankelstrasse,,+49 2236 9698150,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/8688831237,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Kolzem Heizung- Sanitär GmbH,SHK / Heizungs- und Sanitärservice,100,Bonn,53173,Friesdorfer Straße 122,http://www.kolzemgmbh.de,info@kolzem.de,+49228216202,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/2911414904,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Walbrück Heizung Sanitär,SHK / Heizungs- und Sanitärservice,100,Bonn,53225,Im Dohm 1,https://www.walbrueck.de/,,+49 228 926480,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/198901928,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Dirk Pagel Heizung-Sanitär-Solar,SHK / Heizungs- und Sanitärservice,100,Dortmund,44357,Freigrafenweg 13,https://www.dirk-pagel.de/,,+49 231 836384,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/11041576161,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Müller Heizung - Sanitär,SHK / Heizungs- und Sanitärservice,100,Dortmund,44369,Dückerstraße 10,https://www.heizung-sanitaer-mueller.de/,,+49231393245,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/53238091,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Sanitär / Heizung H. Tiedemann,SHK / Heizungs- und Sanitärservice,100,Dortmund,44379,Frohlinder Straße 15,https://www.sanitaer-tiedemann.de/,,+49231670378,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/9472128248,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Nessmann Gebäudetechnik GmbH & Co.KG,SHK / Heizungs- und Sanitärservice,100,Düsseldorf,40597,Benrather Schloßallee 62-64,https://nessmann.de/,info@nessmann.de,+49 211 996080,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/1355210595,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Auweiler Sanitär und Heizung,SHK / Heizungs- und Sanitärservice,100,Köln,50825,Landmannstraße,https://auweiler-sanitaer.de/,info@auweiler-sanitaer.de,+49 221 555412,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/4568627824,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Franz Peters Jr. - Sanitär & Heizung,SHK / Heizungs- und Sanitärservice,100,Köln,50825,Melatengürtel,https://www.franz-peters.de/,info@franz-peters.de,+49 160 3865603,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/3660141063,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Friedrich Klupsch Sanitär & Heizung,SHK / Heizungs- und Sanitärservice,100,Köln,51109,Olpener Straße 968,https://www.friedrich-klupsch.de/,,+49 221 8460186,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/13767752301,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Hermann Semrau GmbH Heizung-Sanitär,SHK / Heizungs- und Sanitärservice,100,Köln,50969,Kalscheurer Weg 31,https://hermann-semrau-gmbh.de/,,+49 221 362061,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/5692643895,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Manfred Domm Sanitär-Heizung,SHK / Heizungs- und Sanitärservice,100,Köln,51105,Siegburger Straße,https://www.domm-gmbh.de,,+49 221 9833284,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/7132140866,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Arslan-Meisterbetrieb Heizung & Sanitär,SHK / Heizungs- und Sanitärservice,100,Wuppertal,42119,Ronsdorfer Straße 43a,https://www.arslan-meisterbetrieb.de/,info@arslan-meisterbetrieb.de,+49 176 61927725,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/13361808672,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website prüfen, Team-/Fuhrparkgröße validieren, Interview-Anfrage an generischen Kontakt senden."
Apleona Wolfferts Gebäudetechnik,Gebäudetechnik / Wartung,90,Köln,51149,Hansestraße 1,https://wolfferts.apleona.com/,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/193769423,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.",Website prüfen und generischen Kontakt/Entscheider recherchieren.
Badschmiede Düsseldorf Blümchen Sanitär Heizung & Fliesenleger Michael Wemmers,SHK / Heizungs- und Sanitärservice,85,Düsseldorf,40627,Gerresheimer Landstraße 163,,,+49 211 92964250,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/1917441148,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Sanitär-Heizung Maier,SHK / Heizungs- und Sanitärservice,85,Düsseldorf,40217,Friedrichstraße 87,,,+49 211 7883328,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/4734021036,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Heizung & Sanitär P. Lietz,SHK / Heizungs- und Sanitärservice,85,Köln,51147,Frankfurter Straße 225,,,+49 2203 2762893,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/160902114,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Sanitär & Heizung Müller,SHK / Heizungs- und Sanitärservice,85,Köln,50679,Adolphstraße 13,,,+49 221 9880152,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/4378025012,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Elektro-Hausgeräte-Service Scholz&Partner,Elektroservice,75,Köln,51145,Kaiserstraße 40,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/4197301386,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
TB Elektro- und Gebäudetechnik GmbH,Elektroservice,75,Köln,50739,Longericher Straße 237,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/13302013566,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
